Gene stable ID	Gene type
YBR024W	protein_coding
YDL245C	protein_coding
YBR232C	protein_coding
YDR320W-B	protein_coding
YBR021W	protein_coding
YGR014W	protein_coding
tT(AGU)O2	tRNA
YKL119C	protein_coding
YPR031W	protein_coding
YKL066W	protein_coding
YJL076W	protein_coding
YPL174C	protein_coding
YIL003W	protein_coding
YML066C	protein_coding
YMR129W	protein_coding
YBR140C	protein_coding
YGR242W	protein_coding
YKR047W	protein_coding
YKL029C	protein_coding
YLR154C-G	protein_coding
YPL028W	protein_coding
YDL235C	protein_coding
tR(ACG)E	tRNA
YER091C	protein_coding
YMR121C	protein_coding
YDR356W	protein_coding
YDR337W	protein_coding
YKL008C	protein_coding
YER055C	protein_coding
YFR004W	protein_coding
YDR108W	protein_coding
YDL200C	protein_coding
YJR134C	protein_coding
Q0158	rRNA
YMR135C	protein_coding
YGR012W	protein_coding
YNL244C	protein_coding
YCR024C-A	protein_coding
YOR027W	protein_coding
YBL101C	protein_coding
YLL040C	protein_coding
YDR181C	protein_coding
YML116W-A	protein_coding
tG(UCC)O	tRNA
YPR096C	protein_coding
YJL210W	protein_coding
YLR216C	protein_coding
YGL118C	protein_coding
YMR021C	protein_coding
YNL079C	protein_coding
YBL058W	protein_coding
YJR127C	protein_coding
YLR088W	protein_coding
YKL128C	protein_coding
YLR100W	protein_coding
YKL106C-A	protein_coding
YBR080C	protein_coding
YOR292C	protein_coding
YNL219C	protein_coding
YPR179C	protein_coding
YOL062C	protein_coding
YDR540C	protein_coding
YER087W	protein_coding
YOL140W	protein_coding
YFL009W	protein_coding
YLL004W	protein_coding
YKL057C	protein_coding
YPL130W	protein_coding
YDL046W	protein_coding
YPL072W	protein_coding
tY(GUA)F1	tRNA
YPR150W	protein_coding
YER180C	protein_coding
YGL157W	protein_coding
YDR252W	protein_coding
YLR037C	protein_coding
YMR307W	protein_coding
YIL116W	protein_coding
YAL040C	protein_coding
YGL232W	protein_coding
YHR181W	protein_coding
YBR051W	protein_coding
YPL259C	protein_coding
YDR461C-A	protein_coding
YJL087C	protein_coding
YIR005W	protein_coding
YDL080C	protein_coding
YJL209W	protein_coding
YLR286C	protein_coding
YEL044W	protein_coding
YOR371C	protein_coding
YLR071C	protein_coding
YBL050W	protein_coding
YOR025W	protein_coding
YHL001W	protein_coding
YJR042W	protein_coding
YNL185C	protein_coding
YBR129C	protein_coding
YKL145W	protein_coding
YIL015W	protein_coding
YPL018W	protein_coding
YLR160C	protein_coding
YIL047C	protein_coding
YBL039C-A	protein_coding
YOR061W	protein_coding
YJR005C-A	protein_coding
YLR352W	protein_coding
YDR068W	protein_coding
tS(GCU)O	tRNA
YJL128C	protein_coding
YPL228W	protein_coding
YML036W	protein_coding
YKL114C	protein_coding
YDR078C	protein_coding
snR7-L	snRNA
YCR105W	protein_coding
YJR083C	protein_coding
YDR248C	protein_coding
snR82	snoRNA
YPL199C	protein_coding
YNL136W	protein_coding
YLL045C	protein_coding
YOR316C-A	protein_coding
YNL264C	protein_coding
YLR320W	protein_coding
YBR028C	protein_coding
YKL098W	protein_coding
YBR063C	protein_coding
YJL052C-A	protein_coding
YPR060C	protein_coding
YLL013C	protein_coding
YKR067W	protein_coding
YLR040C	protein_coding
YMR093W	protein_coding
YIL058W	protein_coding
YHR136C	protein_coding
YBR078W	protein_coding
YCL054W	protein_coding
YIL072W	protein_coding
YOR231C-A	protein_coding
YCR016W	protein_coding
YEL020C	protein_coding
YPL025C	protein_coding
RDN58-2	rRNA
YDL136W	protein_coding
YBR211C	protein_coding
YJL077W-A	protein_coding
YOR076C	protein_coding
YDR104C	protein_coding
YBR279W	protein_coding
YLR067C	protein_coding
YHR219W	protein_coding
YGR249W	protein_coding
YLR456W	protein_coding
YGR283C	protein_coding
YDL027C	protein_coding
YKR023W	protein_coding
YGR028W	protein_coding
YCL001W-A	protein_coding
YDR052C	protein_coding
YFR035C	protein_coding
YJL102W	protein_coding
YNL336W	protein_coding
YGL006W	protein_coding
YDR217C	protein_coding
YMR194C-A	protein_coding
YKL033W	protein_coding
YOR223W	protein_coding
YOR032W-A	protein_coding
YBR260C	protein_coding
YLR359W	protein_coding
YHR062C	protein_coding
YDR022C	protein_coding
YDR459C	protein_coding
YNL184C	protein_coding
YDR293C	protein_coding
YPL195W	protein_coding
YMR173W	protein_coding
YDR374W-A	protein_coding
YAL007C	protein_coding
YGL235W	protein_coding
YGL134W	protein_coding
YER001W	protein_coding
YDR366C	protein_coding
YHR023W	protein_coding
tI(AAU)E2	tRNA
YDR430C	protein_coding
YGR002C	protein_coding
YNL220W	protein_coding
YBR109W-A	protein_coding
YHR110W	protein_coding
YKL136W	protein_coding
YLL067C	protein_coding
YPL078C	protein_coding
YBR073W	protein_coding
YPL119C	protein_coding
YOR135C	protein_coding
YPL212C	protein_coding
snR60	snoRNA
tE(UUC)G3	tRNA
YGL179C	protein_coding
YNL159C	protein_coding
YFR048W	protein_coding
YDR016C	protein_coding
YKL215C	protein_coding
YML035C	protein_coding
YDL059C	protein_coding
tK(CUU)D2	tRNA
YOR257W	protein_coding
tE(UUC)G2	tRNA
YNL144C	protein_coding
YIL172C	protein_coding
YOR301W	protein_coding
HRA1	ncRNA
YHR157W	protein_coding
YPR152C	protein_coding
YDR442W	protein_coding
YPL008W	protein_coding
YMR086C-A	protein_coding
YGL032C	protein_coding
YEL077C	protein_coding
YGR174W-A	protein_coding
YOR148C	protein_coding
YHL048W	protein_coding
YDR114C	protein_coding
YDR194W-A	protein_coding
YML062C	protein_coding
YPR085C	protein_coding
tR(UCU)K	tRNA
YBL095W	protein_coding
YAR028W	protein_coding
YGR054W	protein_coding
YOR096W	protein_coding
YMR022W	protein_coding
YCR027C	protein_coding
YDL183C	protein_coding
YJL225W-A	protein_coding
YNL278W	protein_coding
YLR395C	protein_coding
